,Unnamed: 0,dock_id,dock_name,month,num_day,hour,latitude,longitude,avail_bikes,tot_docks,avail_bikes_proportion,tmp,rain,weekday_cluster,weekend_cluster
67,2112854,414,Pearl St & Anchorage Pl,6,1,18,40.70281858,-73.98765762,23,24,0.9583333333333331,32.2,0,5,0
68,264614,416,Cumberland St & Lafayette Ave,10,6,7,40.68753406,-73.97265183,3,31,0.0967741935483871,6.1,0,1,2
69,1637326,418,Front St & Gold St,9,7,11,40.70224,-73.982578,2,23,0.0869565217391304,20.0,0,2,0
70,1601296,421,Clermont Ave & Park Ave,6,2,4,40.69573398,-73.97129668,11,19,0.5789473684210527,23.9,0,1,0
71,1517732,436,Hancock St & Bedford Ave,5,2,12,40.68216564,-73.95399026,9,27,0.3333333333333333,14.4,0,1,2
72,277398,437,Macon St & Nostrand Ave,9,6,20,40.68098338544978,-73.95004797594497,9,24,0.375,21.7,0,2,3
73,2263700,439,E 4 St & 2 Ave,1,3,11,40.7262807,-73.98978041,3,39,0.0769230769230769,-1.7,0,4,3
74,2076109,448,W 37 St & 10 Ave,5,6,3,40.756603608838965,-73.99790090133699,31,31,1.0,19.4,0,1,2
75,1779770,454,E 51 St & 1 Ave,5,6,8,40.75455731,-73.96592976,3,35,0.0857142857142857,18.9,0,0,1
76,1072696,456,E 53 St & Madison Ave,12,3,19,40.7597108,-73.97402311,0,35,0.0,4.4,0,5,1
77,2087705,457,Broadway & W 58 St,7,5,7,40.76695317,-73.98169333,20,39,0.5128205128205127,25.0,0,0,2
78,2433716,462,W 22 St & 10 Ave,7,7,22,40.74691959,-74.00451887,11,47,0.2340425531914893,30.6,0,4,0
79,1815074,469,Broadway & W 53 St,4,7,10,40.76344058,-73.98268129,13,57,0.2280701754385964,4.4,0,0,1
80,2061813,483,E 12 St & 3 Ave,5,2,15,40.73223272,-73.98889957,0,35,0.0,23.3,0,1,0
81,311831,491,E 24 St & Park Ave S,5,4,6,40.7409637345293,-73.98602212987434,7,53,0.1320754716981132,20.6,0,5,1
82,2132485,516,E 47 St & 1 Ave,3,7,19,40.752068618918216,-73.96784384246185,2,31,0.064516129032258,10.0,0,5,1
83,2013111,524,W 43 St & 6 Ave,10,4,5,40.75527307,-73.98316936,1,57,0.0175438596491228,8.3,0,5,1
84,1237748,528,2 Ave & E 31 St,1,3,8,40.742909020486906,-73.9770605796758,11,39,0.282051282051282,-3.3,0,0,1
85,440148,539,Metropolitan Ave & Bedford Ave,12,2,17,40.71534825,-73.96024116,22,31,0.7096774193548387,6.1,0,2,0
86,2243658,2001,Sands St & Navy St,6,4,2,40.69968874076661,-73.9792749324156,2,15,0.1333333333333333,25.6,0,2,3
87,2459377,2002,Wythe Ave & Metropolitan Ave,6,4,4,40.71688699585005,-73.96319799439499,23,27,0.8518518518518517,24.4,0,4,0
88,1214062,2005,Railroad Ave & Kay Ave,10,6,8,40.70531194,-73.97100056,8,12,0.6666666666666666,16.7,1,2,3
89,607244,2012,E 27 St & 1 Ave,5,6,8,40.739445,-73.976806,32,36,0.8888888888888888,18.9,0,5,1
90,2868279,2017,E 43 St & 2 Ave,2,3,9,40.75022392,-73.97121414,1,39,0.0256410256410256,-4.4,0,0,1
91,235290,3044,Albany Ave & Fulton St,5,5,22,40.6800105,-73.938475,7,27,0.2592592592592592,24.4,0,0,2
92,802269,3046,Marcus Garvey Blvd & Macon St,5,6,2,40.682601,-73.938037,13,19,0.6842105263157894,16.1,1,1,0
93,2027217,3047,Halsey St & Tompkins Ave,6,2,4,40.68236871613298,-73.9441179969845,11,21,0.5238095238095238,23.9,0,1,2
94,599010,3048,Putnam Ave & Nostrand Ave,9,7,12,40.68402,-73.94977,10,19,0.5263157894736841,20.6,0,1,2
95,843796,3050,Putnam Ave & Throop Ave,10,3,10,40.6851532,-73.94111,0,21,0.0,20.0,0,1,1
96,1856586,3056,Kosciuszko St & Nostrand Ave,5,7,3,40.69072552683768,-73.9513346114241,5,23,0.217391304347826,13.3,0,0,2
97,2524986,3057,Kosciuszko St & Tompkins Ave,10,6,8,40.691282598061925,-73.9452415687412,2,18,0.1111111111111111,16.7,1,1,2
98,440606,3058,Lewis Ave & Kosciuszko St,5,6,2,40.69237074,-73.93705428,12,24,0.5,16.1,1,0,2
99,2139325,3059,Pulaski St & Marcus Garvey Blvd,5,2,14,40.6933982,-73.939877,5,19,0.263157894736842,15.0,0,0,2
100,1690744,3060,Willoughby Ave & Tompkins Ave,4,6,6,40.69425403,-73.94626915,15,19,0.7894736842105263,12.2,0,1,2
101,1492654,3061,Throop Ave & Myrtle Ave,10,6,8,40.69622937,-73.94371094,2,21,0.0952380952380952,16.7,1,0,1
102,581892,3062,Myrtle Ave & Marcy Ave,6,2,5,40.695398158559634,-73.94954909295599,7,23,0.3043478260869565,23.3,0,2,2
103,2501334,3063,Nostrand Ave & Myrtle Ave,9,5,10,40.69527008,-73.95238108,18,20,0.9,25.6,0,2,0
104,2580567,3064,Myrtle Ave & Lewis Ave,6,1,17,40.69681963,-73.93756926,16,23,0.6956521739130433,31.7,0,2,0
105,2365788,3066,Tompkins Ave & Hopkins St,9,7,12,40.69957608,-73.94708417,9,19,0.4736842105263157,20.6,0,2,2
106,2038343,3067,Broadway & Whipple St,7,2,1,40.7016657,-73.9437303,23,27,0.8518518518518517,26.1,0,2,0
107,2048663,3070,McKibbin St & Manhattan Ave,10,7,14,40.70510918,-73.94407279,9,23,0.391304347826087,13.9,0,1,2
108,1409111,3071,Boerum St & Broadway,8,4,16,40.70538077,-73.94976519,3,19,0.1578947368421052,28.9,0,2,0
109,2412088,3072,Leonard St & Boerum St,10,6,8,40.70583343071085,-73.94644579934045,1,24,0.0416666666666666,16.7,1,1,2
110,2597663,3073,Division Ave & Hooper St,7,2,17,40.70691254,-73.95441667,1,27,0.037037037037037,31.7,0,0,2
111,29208,3075,Division Ave & Marcy Ave,5,6,2,40.70708701,-73.95796783,3,33,0.0909090909090909,16.1,1,0,1
112,705845,3077,Stagg St & Union Ave,5,2,13,40.70877085608638,-73.95095257753317,0,33,0.0,14.4,0,1,2
113,1425401,3080,S 4 St & Rodney St,6,1,19,40.70934,-73.95608,5,21,0.238095238095238,31.1,0,0,2
114,253027,3090,N 8 St & Driggs Ave,5,6,17,40.71774592,-73.95600096,14,31,0.4516129032258064,16.7,0,5,3
115,1045322,3092,Berry St & N 8 St,12,4,5,40.71900949977999,-73.95852516099721,1,27,0.037037037037037,-0.6,0,2,3
116,1013469,3093,N 6 St & Bedford Ave,3,4,0,40.717451682724366,-73.95850939245885,1,28,0.0357142857142857,3.9,0,5,3
117,18412,3094,Graham Ave & Withers St,12,4,5,40.7169811,-73.94485918,2,18,0.1111111111111111,-0.6,0,0,2
118,1960747,3096,Union Ave & N 12 St,5,2,13,40.71924,-73.95242,12,39,0.3076923076923077,14.4,0,1,2
119,27208,3101,N 12 St & Bedford Ave,4,3,3,40.72079822390124,-73.95484713333549,1,27,0.037037037037037,10.0,0,0,2
120,2244291,3102,Driggs Ave & Lorimer St,5,6,2,40.72179134,-73.9504154,10,27,0.3703703703703703,16.1,1,0,2
