,cluster,dock_id,start_station_id,station_name,lat,lon
302,7,3346,3346.0,Berkeley Pl & 7 Ave,40.674,-73.97523209452629
303,1,3347,3347.0,Van Brunt St & Wolcott St,40.6773429,-74.01275056
304,1,3348,3348.0,Coffey St & Conover St,40.677236,-74.015665
305,2,3350,3350.0,W 100 St & Broadway,40.797,-73.971
306,3,3351,3351.0,E 102 St & 1 Ave,40.7869946,-73.94164802
307,1,3352,3352.0,Sigourney St & Columbia St,40.67267243410948,-74.0087952464819
308,2,3354,3354.0,3 St & Prospect Park West,40.668,-73.974
309,5,3355,3355.0,E 66 St & Madison Ave,40.76800889305947,-73.96845281124115
310,2,3356,3356.0,Amsterdam Ave & W 66 St,40.7746671,-73.986
311,2,3357,3357.0,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472
312,2,3358,3358.0,Garfield Pl & 8 Ave,40.6711978,-73.97484126
313,5,3359,3359.0,E 68 St & Madison Ave,40.7691572,-73.96703464
314,3,3360,3360.0,Amsterdam Ave & W 79 St,40.782,-73.98
315,3,3361,3361.0,Carroll St & 6 Ave,40.6740886,-73.9787282
316,5,3362,3362.0,Madison Ave & E 82 St,40.7781314,-73.96069399
317,6,3363,3363.0,E 102 St & Park Ave,40.7904828,-73.95033068
318,1,3364,3364.0,Carroll St & 5 Ave,40.6751622,-73.9814832
319,2,3365,3365.0,3 St & 7 Ave,40.6703837,-73.97839676
320,2,3366,3366.0,West End Ave & W 107 St,40.8021174,-73.9681805305
321,4,3367,3367.0,5 Ave & E 103 St,40.791,-73.953
322,2,3369,3369.0,E 82 St & East End Ave,40.77246067789397,-73.9468208
323,2,3370,3370.0,78 St & 2 Ave,40.7727966,-73.956
324,1,3371,3371.0,4 Ave & 2 St,40.674613422475815,-73.98501142859459
325,2,3372,3372.0,E 74 St & 1 Ave,40.7689738,-73.95482273
326,1,3373,3373.0,3 St & 3 Ave,40.6750705,-73.98775226
327,1,3374,3374.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.956
328,5,3375,3375.0,3 Ave & E 72 St,40.7699426,-73.96060712
329,5,3376,3376.0,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505
330,1,3377,3377.0,Carroll St & Bond St,40.6786115,-73.99037292
331,5,3378,3378.0,E 76 St & Park Ave,40.773,-73.96222088
332,6,3379,3379.0,E 103 St & Lexington Ave,40.7903051,-73.94755757
333,6,3381,3381.0,3 St & Hoyt St,40.6777287,-73.99364123
334,1,3382,3382.0,Carroll St & Smith St,40.68,-73.995
335,2,3383,3383.0,Cathedral Pkwy & Broadway,40.804213,-73.96699104
336,7,3384,3384.0,Smith St & 3 St,40.6787242,-73.99599099
337,7,3387,3387.0,E 106 St & Madison Ave,40.7934337,-73.94945003
338,3,3388,3388.0,President St & Henry St,40.6828003,-73.99990419
339,1,3389,3389.0,Carroll St & Columbia St,40.6830456,-74.00348559
340,7,3390,3390.0,E 109 St & 3 Ave,40.79329668,-73.9432083
341,1,3391,3391.0,E 106 St & 1 Ave,40.7892529,-73.93956237
342,1,3392,3392.0,Commerce St & Van Brunt St,40.6812117,-74.00860912
343,1,3393,3393.0,Richards St & Delavan St,40.6794327,-74.00785041
344,1,3394,3394.0,Columbia St & W 9 St,40.6769993,-74.00647134
345,1,3395,3395.0,Henry St & W 9 St,40.6763744,-74.00324957
346,7,3396,3396.0,Clinton St & 4 Place,40.6783563,-74.00014502
347,1,3397,3397.0,Court St & Nelson St,40.6763947,-73.99869893
348,1,3398,3398.0,Smith St & 9 St,40.6746957,-73.99785768
349,1,3399,3399.0,7 St & 3 Ave,40.67260298150126,-73.98983001708984
350,3,3400,3400.0,E 110 St & Madison Ave,40.7961535,-73.94782145
351,1,3401,3401.0,2 Ave & 9 St,40.6724811,-73.99331394
352,6,3402,3402.0,Court St & State St,40.689,-73.99203074
353,1,3404,3404.0,7 St & 5 Ave,40.6704922,-73.98541675
354,7,3405,3405.0,5 St & 6 Ave,40.6704836,-73.98208968
355,1,3407,3407.0,Union St & Nevins St,40.67909799721684,-73.98765474557875
356,3,3408,3408.0,Congress St & Clinton St,40.6881529,-73.99520919
357,1,3409,3409.0,Bergen St & Smith St,40.6867443,-73.99063168
358,1,3410,3410.0,Dean St & Hoyt St,40.6864442,-73.98759104
359,3,3411,3411.0,Bond St & Bergen St,40.6849668,-73.98620772
360,1,3413,3413.0,Wyckoff St & 3 Ave,40.6827549,-73.98258555
361,6,3414,3414.0,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790921
362,1,3415,3415.0,Prospect Pl & 6 Ave,40.6793307,-73.97519523
363,6,3416,3416.0,7 Ave & Park Pl,40.677,-73.974
364,1,3417,3417.0,Baltic St & 5 Ave,40.6795766,-73.98
365,4,3418,3418.0,Plaza St West & Flatbush Ave,40.6750207,-73.97111473
366,1,3419,3419.0,Douglass St & 4 Ave,40.6792788,-73.98154004
367,1,3420,3420.0,Douglass St & 3 Ave,40.6802133,-73.98432695
368,1,3421,3421.0,Hoyt St & Warren St,40.6843549,-73.98901629
369,1,3422,3422.0,Columbia St & Degraw St,40.6859296,-74.00242364
370,7,3423,3423.0,West Drive & Prospect Park West,40.6610633719006,-73.98
371,1,3424,3424.0,E 106 St & Lexington Ave,40.791976,-73.945993
372,7,3425,3425.0,2 Ave  & E 104 St,40.7892105,-73.94370784
373,4,3427,3427.0,Lafayette St & Jersey St,40.72430527250332,-73.99600982666014
374,6,3429,3429.0,Hanson Pl & Ashland Pl,40.685068073081766,-73.97790759801862
375,2,3430,3430.0,Richardson St & N Henry St,40.71907891179564,-73.94223690032959
376,2,3434,3434.0,W 88 St & West End Ave,40.79025417330419,-73.97718340158461
377,2,3437,3437.0,Riverside Dr & W 91 St,40.79313480986663,-73.97700369358063
378,5,3438,3438.0,E 76 St & 3 Ave,40.772248537721744,-73.95842134952545
379,6,3440,3440.0,Fulton St & Adams St,40.69241829257847,-73.98949474096298
380,5,3443,3443.0,W 52 St & 6 Ave,40.761,-73.98
