station_name,latitude,longitude,station_start_year,rollout_cluster
Henry St & Atlantic Ave,40.69089272,-73.99612349,2013-01-01T00:00:00,1
Grand St & Havemeyer St,40.71286844,-73.95698119,2013-01-01T00:00:00,1
DeKalb Ave & Hudson Ave,40.689888,-73.981013,2013-01-01T00:00:00,1
Mercer St & Bleecker St S,40.72679454,-73.99695094,2013-01-01T00:00:00,1
W 52 St & 5 Ave,40.75992262,-73.97648516,2013-01-01T00:00:00,1
Willoughby Ave & Hall St,40.69196035,-73.96536851,2013-01-01T00:00:00,1
Joralemon St & Adams St,40.69246277,-73.98963911,2013-01-01T00:00:00,1
E 53 St & Lexington Ave,40.75828065,-73.97069431,2013-01-01T00:00:00,1
Broadway & W 29 St,40.7462009,-73.98855723,2013-01-01T00:00:00,1
Cadman Plaza W & Pierrepont St,40.69475701,-73.990527391433716,2013-01-01T00:00:00,1
1 Ave & E 30 St,40.74,-73.97536082,2013-01-01T00:00:00,1
Fulton St & William St,40.70955958,-74.007,2013-01-01T00:00:00,1
St James Pl & Pearl St,40.71,-74.001,2013-01-01T00:00:00,1
Columbia St & Rivington St,40.71739973,-73.98016555,2013-01-01T00:00:00,1
Water - Whitehall Plaza,40.70255065,-74.0127234,2013-01-01T00:00:00,1
Carmine St & 6 Ave,40.73038599,-74.00214988,2013-01-01T00:00:00,1
Lispenard St & Broadway,40.719,-74.00247214,2013-01-01T00:00:00,1
Bedford Ave & S 9th St,40.70853074,-73.96408963,2013-01-01T00:00:00,1
10 Ave & W 28 St,40.75066386,-74.00176802,2013-01-01T00:00:00,1
E 2 St & 2 Ave,40.7245634290432,-73.99069656,2013-01-01T00:00:00,1
W 41 St & 8 Ave,40.755,-73.9900262,2013-01-01T00:00:00,1
Kent Ave & S 11 St,40.707,-73.968415260314941,2013-01-01T00:00:00,1
E 5 St & Avenue C,40.72299208,-73.97995466,2013-01-01T00:00:00,1
E 15 St & Irving Pl,40.73524276,-73.98758561,2013-01-01T00:00:00,1
Centre St & Worth St,40.71494807,-74.00234482,2013-01-01T00:00:00,1
9 Ave & W 18 St,40.743,-74.004,2013-01-01T00:00:00,1
Suffolk St & Stanton St,40.72066442,-73.98517977,2013-01-01T00:00:00,1
9 Ave & W 45 St,40.76019252,-73.992,2013-01-01T00:00:00,1
Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,2013-01-01T00:00:00,1
MLSWKiosk,40.755467,-73.986536,2013-01-01T00:00:00,1
Forsyth St & Canal St,40.7158155,-73.995,2013-01-01T00:00:00,1
Mercer St & Spring St,40.72362738,-73.99949601,2013-01-01T00:00:00,1
W 56 St & 6 Ave,40.76340613,-73.97722479,2013-01-01T00:00:00,1
W 37 St & 10 Ave,40.75660359,-73.998,2013-01-01T00:00:00,1
E 60 St & York Ave,40.758,-73.959223,2013-01-01T00:00:00,1
E 3 St & 1 Ave,40.72467721,-73.98783413,2013-01-01T00:00:00,1
E 39 St & 2 Ave,40.74780373,-73.974,2013-01-01T00:00:00,1
E 17 St & Broadway,40.737,-73.99009296,2013-01-01T00:00:00,1
W 15 St & 7 Ave,40.73935542,-73.99931783,2013-01-01T00:00:00,1
Johnson St & Gold St,40.69474881,-73.98362464,2013-01-01T00:00:00,1
