,station_name,latitude,longitude,station_start_year,rollout_cluster
100,Bank St & Washington St,40.7361967,-74.01,2013-01-01T00:00:00,2013
101,Bayard St & Baxter St,40.71602118,-73.99974372,2013-01-01T00:00:00,2013
102,Catherine St & Monroe St,40.71117444,-73.99682619,2013-01-01T00:00:00,2013
103,Dean St & 4 Ave,40.68312489,-73.97895137,2013-01-01T00:00:00,2013
104,Bond St & Schermerhorn St,40.68807003,-73.98410637,2013-01-01T00:00:00,2013
105,E 6 St & Avenue B,40.72453734,-73.98185424,2013-01-01T00:00:00,2013
106,Broadway & W 24 St,40.7423543,-73.98915076,2013-01-01T00:00:00,2013
107,State St & Smith St,40.689,-73.98912867,2013-01-01T00:00:00,2013
108,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,2013-01-01T00:00:00,2013
109,MacDougal St & Washington Sq,40.73226398,-73.99852205,2013-01-01T00:00:00,2013
110,E 20 St & Park Ave,40.737,-73.989,2013-01-01T00:00:00,2013
111,Broadway & W 56 St,40.764,-73.983,2013-01-01T00:00:00,2013
112,Lafayette St & Jersey St,40.72430527250332,-73.99600982666014,2013-01-01T00:00:00,2013
113,Atlantic Ave & Furman St,40.69165183,-73.9999786,2013-01-01T00:00:00,2013
114,William St & Pine St,40.70717936,-74.00887308,2013-01-01T00:00:00,2013
115,Reade St & Broadway,40.71450451,-74.00562789,2013-01-01T00:00:00,2013
116,E 33 St & 1 Ave,40.743,-73.97449783980846,2013-01-01T00:00:00,2013
117,FDR Drive & E 35 St,40.744219,-73.97121214,2013-01-01T00:00:00,2013
118,W 43 St & 6 Ave,40.75527307,-73.98316936,2013-01-01T00:00:00,2013
119,LaGuardia Pl & W 3 St,40.728,-73.99810231,2013-01-01T00:00:00,2013
120,W 4 St & 7 Ave S,40.734,-74.004,2013-01-01T00:00:00,2013
121,5 Ave & E 29 St,40.7451677,-73.98683077,2013-01-01T00:00:00,2013
122,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2013-01-01T00:00:00,2013
123,W 33 St & 7 Ave,40.75019995,-73.99093085,2013-01-01T00:00:00,2013
124,W 20 St & 8 Ave,40.74345335,-74.00004031,2013-01-01T00:00:00,2013
125,Greenwich St & Warren St,40.71542197,-74.01121978,2013-01-01T00:00:00,2013
126,Cadman Plaza West & Montague St,40.69383,-73.990539,2013-01-01T00:00:00,2013
127,Monroe St & Bedford Ave,40.6851443,-73.95380904,2013-01-01T00:00:00,2013
128,NYCBS Depot - DEL,40.716633,-73.981933,2013-01-01T00:00:00,2013
129,Mott St & Prince St,40.722,-73.995,2013-01-01T00:00:00,2013
130,NYCBS Depot - FAR,40.751483,-73.996764,2013-01-01T00:00:00,2013
